time,open,high,low,close,tick_volume,spread,real_volume,time_d,Day
2025-08-31 20:00:00,4.25516,4.25783,4.25327,4.25703,220,1092,0,2025-08-31,Sunday
2025-08-31 21:00:00,4.25703,4.25983,4.25501,4.25556,448,755,0,2025-08-31,Sunday
2025-08-31 22:00:00,4.25733,4.2604,4.2566,4.25701,550,568,0,2025-08-31,Sunday
2025-08-31 23:00:00,4.2600999999999996,4.2600999999999996,4.25631,4.25853,202,410,0,2025-08-31,Sunday
2025-09-01 00:00:00,4.25853,4.2620000000000005,4.25849,4.2617,225,424,0,2025-09-01,Monday
2025-09-01 01:00:00,4.2617,4.2619,4.25947,4.2617,528,430,0,2025-09-01,Monday
2025-09-01 02:00:00,4.2617,4.2619,4.2594,4.2613199999999996,287,423,0,2025-09-01,Monday
2025-09-01 03:00:00,4.2613,4.2620000000000005,4.2594899999999996,4.2616,174,410,0,2025-09-01,Monday
2025-09-01 04:00:00,4.2616,4.2617,4.26136,4.2617,378,420,0,2025-09-01,Monday
2025-09-01 05:00:00,4.2617,4.2621,4.2584,4.2586,2434,380,0,2025-09-01,Monday
2025-09-01 06:00:00,4.2584,4.2592,4.2541,4.256,2776,380,0,2025-09-01,Monday
2025-09-01 07:00:00,4.256,4.25674,4.2538,4.2547,1243,380,0,2025-09-01,Monday
2025-09-01 08:00:00,4.2548,4.2568,4.251,4.2517,782,380,0,2025-09-01,Monday
2025-09-01 09:00:00,4.2517,4.2537,4.2509,4.253,912,400,0,2025-09-01,Monday
2025-09-01 10:00:00,4.253,4.2546800000000005,4.2514,4.2533,910,409,0,2025-09-01,Monday
2025-09-01 11:00:00,4.2533,4.2561,4.2517,4.2549,954,410,0,2025-09-01,Monday
2025-09-01 12:00:00,4.2549,4.2581,4.2547,4.257,785,380,0,2025-09-01,Monday
2025-09-01 13:00:00,4.257,4.2584,4.255,4.2551,889,380,0,2025-09-01,Monday
2025-09-01 14:00:00,4.2552,4.2561,4.2542,4.25571,531,400,0,2025-09-01,Monday
2025-09-01 15:00:00,4.25575,4.2588,4.25575,4.2584,1003,395,0,2025-09-01,Monday
2025-09-01 16:00:00,4.2583,4.2584,4.25673,4.25761,563,430,0,2025-09-01,Monday
2025-09-01 17:00:00,4.2576,4.2582,4.25666,4.25766,753,450,0,2025-09-01,Monday
2025-09-01 18:00:00,4.25766,4.25804,4.25635,4.25714,395,531,0,2025-09-01,Monday
2025-09-01 19:00:00,4.25715,4.25934,4.25667,4.25884,403,511,0,2025-09-01,Monday
2025-09-01 20:00:00,4.25251,4.25783,4.25251,4.25783,120,863,0,2025-09-01,Monday
